C,C,W,W,W,D,D,G,UTIL,PROJ,ACTUAL
Nathan MacKinnon,Mika Zibanejad,Clayton Keller,Chris Kreider,Jesper Fast,Oliver Ekman-Larsson,Aaron Ekblad,Henrik Lundqvist,Derek Stepan,30.75,22.5
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Nick Cousins,Keith Yandle,Aaron Ekblad,Braden Holtby,Christian Fischer,30.75,28.0
Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Blake Comeau,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Denis Malgin,30.72,32.8
Aleksander Barkov,Mika Zibanejad,Chris Kreider,Jesper Fast,Blake Comeau,John Carlson,Shayne Gostisbehere,Marc-Andre Fleury,Carl Soderberg,30.71,19.8
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Ivan Provorov,Brady Skjei,Roberto Luongo,Samuel Girard,30.7,36.7
Nathan MacKinnon,Dylan Strome,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Tyson Barrie,Mike Matheson,Braden Holtby,Nick Cousins,30.7,20.5
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Patrick Marleau,Jake Gardiner,Brady Skjei,Antti Raanta,Nazem Kadri,30.7,28.9
Nathan MacKinnon,Vincent Trocheck,Jonathan Huberdeau,Blake Comeau,Matt Nieto,Morgan Rielly,Erik Johnson,Braden Holtby,Carl Soderberg,30.64,37.5
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Jesper Fast,Keith Yandle,Dmitry Orlov,Antti Raanta,Jimmy Vesey,30.64,22.9
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Jake Gardiner,Jakob Chychrun,Henrik Lundqvist,Oskar Lindblom,30.64,20.0
Sean Couturier,Derek Stepan,Claude Giroux,Travis Konecny,Richard Panik,Tyson Barrie,Morgan Rielly,Antti Raanta,Ivan Provorov,30.63,31.4
Nathan MacKinnon,Derek Stepan,Clayton Keller,Wayne Simmonds,Richard Panik,John Carlson,Erik Johnson,Braden Holtby,Jordan Weal,30.62,31.5
