C,C,W,W,W,W,D,D,G,PROJ,ACTUAL
Nathan MacKinnon,Aleksander Barkov,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Patrick Marleau,Morgan Rielly,Mike Matheson,Henrik Lundqvist,34.02,24.5
Nathan MacKinnon,Nicklas Backstrom,Alex Ovechkin,Gabriel Landeskog,T.J. Oshie,Andre Burakovsky,Shayne Gostisbehere,Oliver Ekman-Larsson,Antti Raanta,34.01,33.4
Nathan MacKinnon,Denis Malgin,Alex Ovechkin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Mike Matheson,Shea Theodore,Marc-Andre Fleury,33.97,26.3
Aleksander Barkov,Auston Matthews,Jakub Voracek,Evgenii Dadonov,William Nylander,Zach Hyman,Erik Johnson,Aaron Ekblad,Marc-Andre Fleury,33.97,27.8
Sean Couturier,Erik Haula,Claude Giroux,Jakub Voracek,James Neal,Travis Konecny,John Carlson,Aaron Ekblad,Marc-Andre Fleury,33.96,26.8
Aleksander Barkov,Sean Couturier,Claude Giroux,James Neal,Nick Bjugstad,Travis Konecny,Shayne Gostisbehere,Tyson Barrie,Henrik Lundqvist,33.94,23.0
Nathan MacKinnon,Aleksander Barkov,Mikko Rantanen,Gabriel Landeskog,T.J. Oshie,Nick Bjugstad,Aaron Ekblad,Jake Gardiner,Antti Raanta,33.92,26.4
Aleksander Barkov,Carl Soderberg,Alex Ovechkin,Evgenii Dadonov,Nick Bjugstad,Blake Comeau,Shayne Gostisbehere,Keith Yandle,Braden Holtby,33.91,31.0
Auston Matthews,Mika Zibanejad,Alex Ovechkin,William Nylander,Chris Kreider,Zach Hyman,John Carlson,Shayne Gostisbehere,Antti Raanta,33.87,32.4
Aleksander Barkov,Nazem Kadri,Jakub Voracek,Evgenii Dadonov,Mitchell Marner,Nick Bjugstad,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,33.85,19.3
Evgeny Kuznetsov,Nolan Patrick,Alex Ovechkin,Claude Giroux,Jakub Voracek,Oskar Lindblom,Keith Yandle,Morgan Rielly,Marc-Andre Fleury,33.84,29.3
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Mats Zuccarello,Kevin Hayes,Shayne Gostisbehere,Tyson Barrie,Frederik Andersen,33.83,26.5
Nathan MacKinnon,Aleksander Barkov,Jakub Voracek,Evgenii Dadonov,Gabriel Landeskog,Nick Bjugstad,Mike Matheson,Samuel Girard,Braden Holtby,33.83,23.0
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,T.J. Oshie,Tom Wilson,Shayne Gostisbehere,Keith Yandle,Roberto Luongo,33.81,30.7
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Jakub Voracek,Gabriel Landeskog,Tom Wilson,Keith Yandle,Brady Skjei,Antti Raanta,33.8,32.4
Aleksander Barkov,Sean Couturier,Claude Giroux,Mitchell Marner,Travis Konecny,Patrick Marleau,Aaron Ekblad,Mike Matheson,Braden Holtby,33.77,32.0
Sean Couturier,Tyler Bozak,Alex Ovechkin,Claude Giroux,James van Riemsdyk,Connor Brown,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,33.74,35.0
Aleksander Barkov,Nazem Kadri,Evgenii Dadonov,Mitchell Marner,William Nylander,Patrick Marleau,Shayne Gostisbehere,Erik Johnson,Braden Holtby,33.72,37.5
Evgeny Kuznetsov,Sean Couturier,Claude Giroux,Jonathan Marchessault,Travis Konecny,Alex Tuch,John Carlson,Erik Johnson,Roberto Luongo,33.71,33.7
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Clayton Keller,Richard Panik,Keith Yandle,Aaron Ekblad,Henrik Lundqvist,33.69,26.0
Sean Couturier,William Karlsson,Claude Giroux,Jonathan Marchessault,T.J. Oshie,Travis Konecny,Ivan Provorov,Jake Gardiner,Marc-Andre Fleury,33.67,33.8
Nathan MacKinnon,William Karlsson,Mikko Rantanen,Jonathan Marchessault,Gabriel Landeskog,Matt Nieto,Aaron Ekblad,Mike Matheson,Braden Holtby,33.65,32.0
Vincent Trocheck,Evgeny Kuznetsov,Alex Ovechkin,Wayne Simmonds,Tom Wilson,Jordan Weal,John Carlson,Keith Yandle,Marc-Andre Fleury,33.65,29.8
